"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"UF";"350395";14;0;NA;0;14;0;0;4;1;9;10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350400";777;55;NA;49;728;28;139;177;90;294;437;340;25;0;6;4;2;2;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"UF";"350410";1014;58;NA;84;930;30;226;273;174;227;553;461;32;0;10;6;4;8;8;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
2016;"UF";"350420";115;9;NA;6;109;4;14;38;13;40;58;57;3;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;1;0;0;1;0;0;0
2016;"UF";"350430";37;2;NA;4;33;1;8;12;5;7;20;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350440";80;1;NA;7;73;1;15;15;10;32;48;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350450";712;22;NA;46;666;23;107;152;81;303;375;337;23;0;7;3;4;6;6;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"UF";"350460";107;3;NA;14;93;3;23;26;19;22;69;38;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350470";21;1;NA;1;20;1;0;6;6;7;14;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350480";62;1;NA;5;57;3;12;17;10;15;37;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350490";72;7;NA;6;66;3;14;18;10;21;35;37;6;0;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350500";31;1;NA;1;30;1;5;4;7;13;15;16;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350510";47;4;NA;3;44;0;14;10;7;13;30;17;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350520";273;15;NA;9;264;6;46;69;80;63;145;128;6;0;4;2;2;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350530";308;7;NA;20;288;11;66;75;38;98;162;146;15;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350535";29;0;NA;10;19;0;3;7;5;4;21;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350540";54;1;NA;12;42;2;8;9;9;14;41;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350550";1090;156;NA;87;1003;58;180;302;196;267;580;510;70;0;14;11;3;6;9;0;0;5;0;5;1;1;0;2;1;4;4;0;0;1;2;1;0
2016;"UF";"350560";189;8;NA;20;169;10;25;49;21;64;112;77;13;0;5;4;1;3;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350570";1819;102;NA;144;1675;85;365;591;236;398;1019;799;113;0;31;23;8;16;23;0;0;7;0;3;1;0;0;1;1;2;1;0;0;0;1;0;0
2016;"UF";"350580";166;16;NA;9;157;9;37;46;21;44;90;76;9;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350590";480;30;NA;35;445;9;77;121;91;147;247;233;20;0;5;2;3;2;5;0;0;0;0;3;1;0;0;2;0;3;2;0;1;1;0;0;0
